Date,temperature_2m_mean,temperature_2m_max,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_mean,relative_humidity_2m_min,dew_point_2m_mean,vpd_mean_kpa,vpd_max_kpa,Zone_Name
2012-01-01,-8.319092,-3.3444214,0.2354433,3.8564174,72.834465,49.87069,-12.3263855,0.08859834,0.23920685,Quesnel Fire Zone
2012-01-02,-1.4993591,0.9913025,2.4662235,3.4246125,76.29212,63.660652,-5.1295166,0.12974799,0.2384941,Quesnel Fire Zone
2012-01-03,0.5195923,2.5108337,6.510869,4.5930247,77.53161,67.22629,-2.9543762,0.14251408,0.23985729,Quesnel Fire Zone
2012-01-04,2.8153687,4.609314,11.683295,5.3500896,80.80903,71.22737,-0.15505981,0.14352816,0.24422371,Quesnel Fire Zone
2012-01-05,-1.9594727,0.47680664,1.6210307,3.8603008,79.116196,66.23136,-5.096466,0.11047414,0.21352693,Quesnel Fire Zone
2012-01-06,-4.8310547,-2.8963928,0.54392654,2.447025,80.310265,69.479095,-7.700714,0.08399859,0.15059823,Quesnel Fire Zone
2012-01-07,-3.780182,-1.4220276,6.554218,3.6900046,82.3555,69.15222,-6.3466187,0.08148831,0.16978773,Quesnel Fire Zone
2012-01-08,-0.5012207,1.4041138,7.4992633,3.6378524,84.52436,73.653885,-2.78833,0.09113225,0.17812875,Quesnel Fire Zone
2012-01-09,0.047943115,3.084076,2.3412864,6.509193,70.12165,56.42184,-4.7517395,0.1831347,0.33219624,Quesnel Fire Zone
2012-01-10,-9.64917,-5.1368103,0.193723,3.9788804,69.15746,48.82624,-14.246368,0.09060332,0.21330279,Quesnel Fire Zone
2012-01-11,-11.479004,-6.696106,0.10070587,1.8395648,72.63184,49.951103,-15.413727,0.069484636,0.1851426,Quesnel Fire Zone
2012-01-12,-8.000549,-4.1585693,0.39957878,2.9901903,71.84128,53.588997,-12.189575,0.094149545,0.20832284,Quesnel Fire Zone
2012-01-13,-8.202545,-5.9946594,1.3837401,2.534245,81.94426,69.14063,-10.738556,0.05942604,0.12047705,Quesnel Fire Zone
2012-01-14,-8.200256,-5.7325745,4.559356,2.380324,84.037605,69.51816,-10.418091,0.052545696,0.12141356,Quesnel Fire Zone
2012-01-15,-18.084442,-11.85376,0.7462596,1.7071042,75.0143,44.902004,-21.430267,0.03671533,0.13573056,Quesnel Fire Zone
2012-01-16,-24.763199,-22.110489,0.9943326,1.3451539,70.30567,55.546463,-28.612793,0.024249218,0.046042744,Quesnel Fire Zone
2012-01-17,-30.123642,-26.945892,0.2582701,0.9758568,66.760895,49.66325,-34.315567,0.01648172,0.03365247,Quesnel Fire Zone
2012-01-18,-32.883743,-27.750198,0.0023722518,0.7036037,68.983284,42.42931,-36.643585,0.011774778,0.035715565,Quesnel Fire Zone
2012-01-19,-30.134659,-24.869614,0.26520222,0.6923177,65.34662,40.21194,-34.54367,0.017164927,0.04835525,Quesnel Fire Zone
2012-01-20,-18.858994,-12.407623,3.052013,1.4226503,77.32608,45.3106,-21.835815,0.031181283,0.1288256,Quesnel Fire Zone
2012-01-21,-9.8186035,-6.4494324,5.691663,2.978801,85.247375,65.62795,-11.827881,0.042760238,0.12958787,Quesnel Fire Zone
2012-01-22,-8.680664,-3.8788147,0.848955,3.5629356,77.51097,53.70142,-11.902191,0.07129927,0.21224283,Quesnel Fire Zone
2012-01-23,-4.5796814,-1.6714783,2.7793612,5.187011,71.53271,57.611137,-8.945496,0.12377933,0.22905838,Quesnel Fire Zone
2012-01-24,-2.0273132,0.10253906,4.339272,5.262802,72.06894,61.678486,-6.388611,0.14701366,0.23582032,Quesnel Fire Zone
2012-01-25,-3.3582458,-0.0770874,2.4127102,5.517232,64.90084,50.9836,-9.019043,0.16731277,0.29771668,Quesnel Fire Zone
2012-01-26,-6.986847,-3.9129639,2.092883,6.2546124,69.91527,55.368774,-11.552216,0.10882154,0.20407438,Quesnel Fire Zone
2012-01-27,-5.324829,-1.8263855,2.8016694,4.9309635,69.32405,53.38029,-10.061737,0.12604734,0.24905476,Quesnel Fire Zone
2012-01-28,-3.4602356,-1.3050537,15.239544,3.7127576,87.48732,74.59616,-5.238159,0.05919218,0.14103335,Quesnel Fire Zone
2012-01-29,-0.019958496,3.4650269,2.7376072,3.8177354,82.12835,64.013115,-2.7044983,0.10900158,0.28182864,Quesnel Fire Zone
2012-01-30,-0.6184082,1.8251953,2.3171346,3.8996518,77.053795,64.59704,-4.1426086,0.13397166,0.24670994,Quesnel Fire Zone
2012-01-31,-1.7899475,1.5155029,3.0941002,2.862474,76.917885,60.506367,-5.303711,0.12364322,0.26916724,Quesnel Fire Zone
2012-02-01,-3.2074585,-0.5533142,2.1339407,3.5299754,79.36594,65.272736,-6.2710266,0.09947583,0.20372313,Quesnel Fire Zone
2012-02-02,-2.1299133,1.3991089,0.2166068,2.53443,74.39313,57.55022,-6.072174,0.13376004,0.28690392,Quesnel Fire Zone
2012-02-03,-2.6619263,1.7958069,0.016502785,1.9221338,78.65581,56.86209,-5.8574524,0.10717404,0.29997933,Quesnel Fire Zone
2012-02-04,-3.6132507,2.6238403,0.07139643,1.5130742,76.95593,48.862183,-7.068054,0.10776794,0.3772812,Quesnel Fire Zone
2012-02-05,-6.2786255,-0.5996399,0.00026389424,0.78329647,78.92498,51.660675,-9.335785,0.08050582,0.28261748,Quesnel Fire Zone
2012-02-06,-8.461395,-2.2584534,0.00041393543,0.842012,80.974396,50.587536,-11.141418,0.061363816,0.25566277,Quesnel Fire Zone
2012-02-07,-8.238556,-1.6174316,3.4389634e-06,1.670378,74.808,45.3582,-11.915649,0.08268045,0.29645008,Quesnel Fire Zone
2012-02-08,-7.559204,-1.351532,0.19623709,1.7826583,72.17247,45.23339,-11.70639,0.0962922,0.3030071,Quesnel Fire Zone
2012-02-09,-5.034546,-0.5001831,0.425489,1.7055966,82.10112,58.643486,-7.614319,0.07518834,0.24355692,Quesnel Fire Zone
2012-02-10,-1.8331299,1.4750977,2.4043677,0.9329652,84.242615,66.24942,-4.139801,0.084138185,0.2293587,Quesnel Fire Zone
2012-02-11,-0.67178345,2.2323914,0.13689663,1.8836639,84.949554,68.90911,-2.888153,0.08752969,0.22306585,Quesnel Fire Zone
2012-02-12,-0.65625,2.3731384,2.5980003,2.9570267,87.35785,70.23595,-2.4958801,0.073607266,0.21570265,Quesnel Fire Zone
2012-02-13,-5.6892395,-0.26449585,0.1380704,2.9354897,70.6793,47.223305,-10.166931,0.11717591,0.31620744,Quesnel Fire Zone
2012-02-14,-9.113556,-1.2073059,0.0,1.9688182,68.076805,37.411293,-13.924835,0.09782542,0.34997815,Quesnel Fire Zone
2012-02-15,-8.289856,-1.3379211,0.018744307,2.1373365,68.73623,40.66782,-13.015717,0.10219766,0.32859606,Quesnel Fire Zone
2012-02-16,-4.6974792,-0.5779724,3.920746,2.3714218,82.05388,60.462284,-7.291992,0.07733917,0.23152518,Quesnel Fire Zone
2012-02-17,-4.571869,-0.55548096,0.53305286,2.263969,80.370155,59.687023,-7.43808,0.08540347,0.23645353,Quesnel Fire Zone
2012-02-18,-3.4217224,0.008087158,2.0324502,3.179736,84.04583,65.30658,-5.729004,0.07569057,0.21203217,Quesnel Fire Zone
2012-02-19,-5.27771,-2.491211,1.5283635,2.8451366,85.26991,69.20846,-7.362213,0.06074339,0.15658718,Quesnel Fire Zone
2012-02-20,-4.680359,-2.2911072,3.8880177,3.0594366,86.120384,72.05261,-6.6459045,0.05989209,0.14425138,Quesnel Fire Zone
2012-02-21,-1.703186,0.5239563,5.0720835,4.843578,82.15856,69.850075,-4.345978,0.09618509,0.1912975,Quesnel Fire Zone
2012-02-22,-2.8463135,-0.07702637,2.9024127,4.9587817,76.99044,62.82866,-6.3172607,0.11396006,0.22577295,Quesnel Fire Zone
2012-02-23,-5.370178,-1.3640442,0.4185326,3.514204,67.719475,50.229992,-10.40155,0.13218313,0.27510887,Quesnel Fire Zone
2012-02-24,-5.3194275,-2.0779724,9.718547,2.2673268,83.827065,65.782684,-7.6242065,0.06648186,0.17942667,Quesnel Fire Zone
2012-02-25,-7.2130737,-4.47641,3.518703,2.1591618,80.83791,65.63297,-9.942932,0.06811041,0.15060392,Quesnel Fire Zone
2012-02-26,-13.701782,-7.732086,0.2635699,2.6943357,70.35405,43.802223,-17.939499,0.06284326,0.1918675,Quesnel Fire Zone
2012-02-27,-13.07254,-6.3279114,0.2315252,2.4493806,68.35647,40.20537,-17.67537,0.07061808,0.22755033,Quesnel Fire Zone
2012-02-28,-7.3453064,-2.5871887,0.47746983,2.7182899,66.72065,46.566395,-12.478821,0.11708394,0.26979864,Quesnel Fire Zone
2012-02-29,-6.1700745,-2.8361206,1.353437,1.210959,76.18384,59.272636,-9.680267,0.091737986,0.20186484,Quesnel Fire Zone
2012-03-01,-5.9727783,-2.2662659,0.8113218,3.458834,75.72901,57.34027,-9.565002,0.094914496,0.22059584,Quesnel Fire Zone
2012-03-02,-3.03479,0.5444336,3.8183305,3.7966292,78.12328,60.101337,-6.309387,0.10683632,0.2535279,Quesnel Fire Zone
2012-03-03,-0.50442505,2.484314,6.756007,5.2914286,77.10845,62.19157,-4.022461,0.13477117,0.27618185,Quesnel Fire Zone
2012-03-04,-2.401825,0.40426636,13.694037,3.0193388,85.79355,69.878586,-4.4555054,0.072726846,0.18946552,Quesnel Fire Zone
2012-03-05,-7.9455566,-4.9153137,1.0584835,2.4899707,70.014175,55.5249,-12.456726,0.10068908,0.18852685,Quesnel Fire Zone
2012-03-06,-9.786407,-3.6474304,0.51603395,4.0174346,66.5739,41.569824,-14.842041,0.097132325,0.27255458,Quesnel Fire Zone
2012-03-07,-3.2853088,1.0556946,1.2782435,3.1021369,75.37403,54.856693,-7.019928,0.11803123,0.29765394,Quesnel Fire Zone
2012-03-08,-0.6040344,2.9980164,1.1234227,3.6352952,72.72954,56.152473,-4.8957825,0.1593864,0.332215,Quesnel Fire Zone
2012-03-09,1.9282227,5.184204,2.448185,5.2598286,65.76307,52.283943,-3.8057556,0.2403518,0.42161486,Quesnel Fire Zone
2012-03-10,-0.67245483,3.305603,2.0421314,3.425785,72.102974,54.200615,-5.076233,0.16223422,0.35465205,Quesnel Fire Zone
2012-03-11,-2.7790833,1.0762634,1.6872121,4.5086727,67.62338,51.02834,-7.9378967,0.16115806,0.3233757,Quesnel Fire Zone
2012-03-12,-3.5045166,1.3390198,2.2425952,7.25031,64.917816,45.544403,-9.155151,0.16540903,0.36645955,Quesnel Fire Zone
2012-03-13,-5.029999,-1.6992493,1.8215674,4.5623727,59.94496,46.760704,-11.610504,0.16831845,0.28710207,Quesnel Fire Zone
2012-03-14,-4.7497253,-0.57003784,0.83063483,5.343486,63.50971,46.58683,-10.619324,0.15663439,0.3129587,Quesnel Fire Zone
2012-03-15,0.7715759,5.8396606,3.239304,5.4581137,65.1726,45.57077,-5.028351,0.22497177,0.5033505,Quesnel Fire Zone
2012-03-16,-1.4169922,2.769867,2.047436,2.8317258,70.24077,51.93345,-6.137329,0.16385713,0.35832596,Quesnel Fire Zone
2012-03-17,-4.0268555,0.69192505,1.9597015,2.4221976,76.369675,53.979652,-7.5688477,0.107126296,0.29556623,Quesnel Fire Zone
2012-03-18,-4.5909424,-0.28619385,1.1153384,2.5109367,71.15655,51.744644,-9.023773,0.1253081,0.2886609,Quesnel Fire Zone
2012-03-19,-5.21933,-1.0577087,0.9235765,3.2053888,62.672287,45.977478,-11.232727,0.15461612,0.30541724,Quesnel Fire Zone
2012-03-20,-2.2434692,1.630249,1.8654408,5.520689,58.193977,43.909733,-9.355316,0.21654719,0.38544443,Quesnel Fire Zone
2012-03-21,-3.8074036,0.7715759,0.3514289,4.229963,55.258266,39.47779,-11.478302,0.20621017,0.39095047,Quesnel Fire Zone
2012-03-22,-5.168762,1.7071838,0.24801767,2.9133017,56.21164,33.892925,-12.542023,0.18207599,0.4567936,Quesnel Fire Zone
2012-03-23,-3.8313904,3.3590088,0.13877915,1.09938,58.153557,34.484756,-10.859863,0.19251865,0.5092449,Quesnel Fire Zone
2012-03-24,-3.9181824,4.4477844,0.00016955222,2.3220468,57.471348,31.366375,-11.089935,0.1943841,0.576009,Quesnel Fire Zone
2012-03-25,-2.419983,6.5647583,8.773706e-05,2.256403,55.230133,29.09891,-10.18512,0.22888067,0.6893768,Quesnel Fire Zone
2012-03-26,0.13052368,8.649597,0.043488797,1.2810416,54.35312,29.94191,-8.003998,0.28147078,0.78546697,Quesnel Fire Zone
2012-03-27,2.3857727,7.694336,0.2209031,4.0134997,60.288345,41.6628,-4.5293274,0.28805324,0.61291367,Quesnel Fire Zone
2012-03-28,3.360443,6.93692,1.0983883,4.174247,60.15277,46.90675,-3.639038,0.30976087,0.52961963,Quesnel Fire Zone
2012-03-29,1.6651306,4.7476196,2.3555348,5.3495173,58.668606,47.188065,-5.5690613,0.28473553,0.4526311,Quesnel Fire Zone
2012-03-30,-1.1169128,2.7287903,2.426178,3.5338838,63.17679,47.888424,-7.2328186,0.20727736,0.38734752,Quesnel Fire Zone
2012-03-31,-2.3006287,2.9205627,0.53135675,1.8502184,54.83146,37.582905,-10.1651,0.23297432,0.47031587,Quesnel Fire Zone
2012-04-01,-1.3755493,3.3381348,0.83502257,4.0712323,59.62036,42.473396,-8.226715,0.22301361,0.44648984,Quesnel Fire Zone
2012-04-02,1.4509583,6.560852,2.7667649,7.2943563,57.203396,39.962082,-6.1026917,0.2903285,0.5835961,Quesnel Fire Zone
2012-04-03,0.44192505,3.6395874,7.764471,5.123484,70.16787,55.859272,-4.3644104,0.18815908,0.34997424,Quesnel Fire Zone
2012-04-04,-2.604889,2.150879,0.4531668,2.4914544,68.388954,48.407257,-7.6255493,0.15940142,0.36800963,Quesnel Fire Zone
2012-04-05,-1.8987427,2.86557,0.9385803,1.9331585,69.21789,49.062447,-6.791748,0.1635688,0.38232055,Quesnel Fire Zone
2012-04-06,-2.1372375,3.7087402,0.52968144,1.775121,67.15575,44.068176,-7.41333,0.1714721,0.44563082,Quesnel Fire Zone
2012-04-07,-0.9816284,6.2364197,0.07465414,1.8322874,55.12209,33.02059,-8.863434,0.25513896,0.63665664,Quesnel Fire Zone
2012-04-08,1.0519104,9.353302,0.0020265954,1.0957834,48.576294,27.27404,-8.594086,0.3389714,0.85507643,Quesnel Fire Zone
2012-04-09,3.052246,9.276154,0.042878278,1.4047232,53.18414,34.618725,-5.5621643,0.3560724,0.76473534,Quesnel Fire Zone
2012-04-10,5.141205,11.919586,0.19163865,1.8170829,55.193703,34.88217,-3.1201172,0.3947195,0.9084876,Quesnel Fire Zone
2012-04-11,5.5400696,11.293549,1.3023305,1.6504126,63.09608,42.727196,-0.9300537,0.3342566,0.7666248,Quesnel Fire Zone
2012-04-12,3.9238892,6.2494507,6.6725583,2.115711,83.481285,71.00962,1.3796692,0.13362229,0.2758093,Quesnel Fire Zone
2012-04-13,1.7802734,3.998352,6.9145994,2.623207,84.98904,72.633316,-0.47457886,0.104269445,0.2225368,Quesnel Fire Zone
2012-04-14,0.69177246,3.5214539,1.3471239,1.6432596,72.67628,59.401203,-3.655365,0.17548499,0.3192171,Quesnel Fire Zone
2012-04-15,1.4683228,6.9031982,0.07082465,1.6752402,61.42985,41.969852,-5.148346,0.2619834,0.5775268,Quesnel Fire Zone
2012-04-16,2.0272217,5.9732056,3.4105754,2.8595726,74.35294,56.364494,-2.0584412,0.18132913,0.40728343,Quesnel Fire Zone
2012-04-17,2.5513306,6.731964,1.3601385,2.6323073,66.44457,49.621742,-3.072998,0.24628797,0.49550444,Quesnel Fire Zone
2012-04-18,3.1248474,7.414917,1.5145283,2.8021953,64.800705,48.09837,-2.8633118,0.26910108,0.5349828,Quesnel Fire Zone
2012-04-19,3.4833374,8.485474,1.0769668,5.001756,60.149014,42.57494,-3.5238647,0.3124943,0.636706,Quesnel Fire Zone
2012-04-20,3.2042847,7.757263,1.3246552,5.191126,51.936676,37.872456,-5.733032,0.36952204,0.6555464,Quesnel Fire Zone
2012-04-21,3.1365051,9.731903,0.007332423,1.8283247,49.16816,31.225306,-6.5135803,0.38893425,0.8294748,Quesnel Fire Zone
2012-04-22,4.62442,8.632477,3.2721827,1.7411771,69.42528,52.709816,-0.49298096,0.25979465,0.5295865,Quesnel Fire Zone
2012-04-23,5.0939636,9.237518,4.452735,2.9005725,79.98487,60.237606,1.9248657,0.17574263,0.46387315,Quesnel Fire Zone
2012-04-24,5.0611267,10.21875,1.6219187,2.6505826,65.70155,46.224533,-0.83151245,0.30046815,0.6700849,Quesnel Fire Zone
2012-04-25,8.065552,12.767761,1.3133075,5.134917,61.843246,45.19696,1.1854553,0.41116488,0.8084372,Quesnel Fire Zone
2012-04-26,4.898773,7.77829,10.990909,3.6458979,77.5491,63.59695,1.3028259,0.19446212,0.3846627,Quesnel Fire Zone
2012-04-27,3.3033142,7.62027,0.56459814,3.9512675,56.12175,41.59792,-4.617035,0.3397205,0.6104992,Quesnel Fire Zone
2012-04-28,4.766205,9.422241,2.3158338,3.775996,65.55797,47.662148,-1.1424866,0.2955736,0.6182265,Quesnel Fire Zone
2012-04-29,5.5097046,10.823029,0.9960631,2.737292,59.494656,41.478474,-1.7602539,0.366103,0.7592299,Quesnel Fire Zone
2012-04-30,4.33255,7.946472,8.176533,2.6128557,78.09411,60.86018,0.85009766,0.1823653,0.41835153,Quesnel Fire Zone
2012-05-01,3.6348572,7.0705566,2.4327402,2.9013257,67.051346,52.82141,-1.9153137,0.26114953,0.4749576,Quesnel Fire Zone
2012-05-02,2.8382874,7.698517,1.7644207,2.0190744,65.33694,46.61229,-3.0253296,0.25966567,0.56107247,Quesnel Fire Zone
2012-05-03,3.2332764,7.170746,3.6957264,1.9950627,74.035255,56.30735,-0.95095825,0.20003343,0.44289732,Quesnel Fire Zone
2012-05-04,3.457489,7.268036,1.9792638,3.4509683,63.14056,48.463646,-2.896576,0.28850824,0.52590156,Quesnel Fire Zone
2012-05-05,3.149109,7.9318237,0.5154536,3.8286047,54.277218,38.9596,-5.2036133,0.3501556,0.6517881,Quesnel Fire Zone
2012-05-06,5.9001465,12.190552,0.089482784,3.281679,54.20729,35.471355,-2.6544495,0.42526072,0.9164903,Quesnel Fire Zone
2012-05-07,9.0937805,14.905334,0.1074254,3.9018981,51.782173,35.313797,-0.309021,0.5570867,1.0964185,Quesnel Fire Zone
2012-05-08,6.47287,10.168762,1.3653092,4.84498,49.259563,38.34097,-3.4104004,0.49023783,0.76575506,Quesnel Fire Zone
2012-05-09,1.3293457,4.4177856,1.0213963,5.1931868,45.62647,36.660973,-9.141022,0.36565265,0.5304568,Quesnel Fire Zone
2012-05-10,2.0299988,7.160431,0.7528158,5.425351,45.443653,31.755346,-8.550751,0.38579944,0.69128346,Quesnel Fire Zone
2012-05-11,4.331604,11.698242,0.0048484127,3.0658295,48.73539,29.536963,-5.5270386,0.4267466,0.9687953,Quesnel Fire Zone
2012-05-12,8.434448,17.493744,0.0,2.9380338,42.0542,23.258183,-3.7347717,0.64025915,1.5342206,Quesnel Fire Zone
2012-05-13,9.675598,17.747925,0.0019362594,3.7197945,41.152462,24.351995,-2.9032593,0.70706654,1.5367907,Quesnel Fire Zone
2012-05-14,9.956787,18.881989,0.0,2.4821851,44.983597,25.263191,-1.4425049,0.67362714,1.6302094,Quesnel Fire Zone
2012-05-15,9.344238,13.721863,0.15033567,3.1197035,48.34012,36.193962,-1.0211182,0.607021,1.0017409,Quesnel Fire Zone
2012-05-16,5.42334,9.508087,0.31088027,4.6920886,39.298203,29.735207,-7.345398,0.54536134,0.83479273,Quesnel Fire Zone
2012-05-17,2.2977905,6.646118,1.0602846,3.2920973,49.618576,36.609123,-7.1695557,0.3631604,0.6198186,Quesnel Fire Zone
2012-05-18,2.9448242,7.169739,1.6983389,2.433882,61.7079,45.987427,-3.6905212,0.28903037,0.547469,Quesnel Fire Zone
2012-05-19,6.17807,12.911255,0.051144194,2.3311331,49.43217,31.45138,-3.6355286,0.47872588,1.0207565,Quesnel Fire Zone
2012-05-20,7.931488,13.081177,0.7314713,3.701153,54.315983,38.53788,-0.73339844,0.4878018,0.92546153,Quesnel Fire Zone
2012-05-21,8.186951,13.312561,4.358141,3.7263598,72.49585,51.553093,3.5355835,0.29883397,0.74059343,Quesnel Fire Zone
2012-05-22,6.619568,10.828369,3.7840955,3.0264578,64.95548,48.874233,0.4953308,0.34202963,0.6635168,Quesnel Fire Zone
2012-05-23,6.367096,11.972137,1.3818138,2.6803982,55.049355,37.740387,-2.0101929,0.4311409,0.8716279,Quesnel Fire Zone
2012-05-24,7.347748,11.931732,1.4313495,1.2852446,62.26108,45.776276,0.5996704,0.3872143,0.7571057,Quesnel Fire Zone
2012-05-25,9.65213,17.06424,0.07746033,0.56785995,46.88848,28.924894,-1.1551819,0.6371414,1.3828601,Quesnel Fire Zone
2012-05-26,10.897888,19.316559,0.00019626447,2.8909695,39.236027,22.835224,-2.446045,0.79225934,1.7293911,Quesnel Fire Zone
2012-05-27,11.184906,17.741547,0.7202148,3.1620119,47.127335,30.852467,0.31915283,0.70264393,1.4041691,Quesnel Fire Zone
2012-05-28,9.163818,14.833252,3.75443,3.4587593,59.401302,40.890743,1.65979,0.47128105,0.99724686,Quesnel Fire Zone
2012-05-29,7.159851,12.22525,1.760544,3.235516,57.12068,40.667526,-0.764801,0.43432838,0.8446171,Quesnel Fire Zone
2012-05-30,9.194397,14.595215,0.96523726,4.0958185,55.917103,39.168175,0.846344,0.5127833,1.0106654,Quesnel Fire Zone
2012-05-31,10.308105,16.672394,1.6010474,3.9915433,56.25585,37.172905,1.9720154,0.5483534,1.192373,Quesnel Fire Zone
2012-06-01,9.138641,16.161682,6.140918,5.3139806,65.64316,41.429436,3.0405273,0.39814693,1.0760288,Quesnel Fire Zone
2012-06-02,6.9440613,11.250641,1.523472,2.5978353,54.701103,40.922676,-1.5578003,0.45209056,0.7885319,Quesnel Fire Zone
2012-06-03,6.6999817,11.890778,1.466396,1.8416978,58.464718,41.230495,-0.87805176,0.4076295,0.81836206,Quesnel Fire Zone
2012-06-04,8.149414,12.696747,1.9132031,1.7685032,70.388145,51.976776,3.081482,0.3209139,0.7051333,Quesnel Fire Zone
2012-06-05,8.163849,10.3871155,8.478431,2.8942714,86.6785,74.63505,6.075287,0.14451152,0.31964475,Quesnel Fire Zone
2012-06-06,6.694763,10.597229,11.139605,3.9591866,71.19861,54.683624,1.8449402,0.2825569,0.5791341,Quesnel Fire Zone
2012-06-07,8.332733,13.174652,2.4880733,4.764016,61.80625,44.78934,1.4298401,0.419109,0.83642405,Quesnel Fire Zone
2012-06-08,8.047394,12.891632,3.508155,2.722353,71.03679,51.433327,3.1132202,0.31171262,0.7222771,Quesnel Fire Zone
2012-06-09,10.216858,16.068909,1.2621318,3.3709188,60.810436,41.502525,2.9818115,0.48827124,1.0683424,Quesnel Fire Zone
2012-06-10,12.195068,19.175232,0.1015363,3.5808446,51.27285,32.799107,2.4248352,0.69227,1.4928887,Quesnel Fire Zone
2012-06-11,12.5425415,17.839478,2.5458443,3.130925,63.01438,44.838367,5.6890564,0.53759927,1.1270895,Quesnel Fire Zone
2012-06-12,10.246613,13.185852,11.457908,2.5724368,85.71151,70.596794,7.958313,0.17837799,0.44577527,Quesnel Fire Zone
2012-06-13,9.701813,13.978394,2.3855517,3.5617893,59.827095,45.125614,2.26651,0.48353732,0.87599546,Quesnel Fire Zone
2012-06-14,7.410614,11.568359,2.3177147,2.4429615,62.371296,47.17225,0.6837158,0.38774854,0.720116,Quesnel Fire Zone
2012-06-15,9.470062,16.341644,2.402392,3.542937,55.998005,35.72687,1.124176,0.5214372,1.1944177,Quesnel Fire Zone
2012-06-16,11.535736,16.77295,16.579155,4.8051715,76.35623,54.39272,7.5187683,0.32160246,0.8711097,Quesnel Fire Zone
2012-06-17,9.208618,12.225616,9.769625,3.6450112,77.04542,63.034924,5.393585,0.26726967,0.5262225,Quesnel Fire Zone
2012-06-18,9.306152,13.857269,2.4959385,2.8607395,71.72832,53.099167,4.461334,0.3313504,0.7428427,Quesnel Fire Zone
2012-06-19,10.850311,16.39328,3.8555279,2.655507,70.62853,49.252365,5.723175,0.38174385,0.94617355,Quesnel Fire Zone
2012-06-20,11.930084,18.374268,1.6173491,2.3898368,65.257706,43.128986,5.612854,0.48504096,1.2017207,Quesnel Fire Zone
2012-06-21,14.442322,20.432007,0.22656396,2.480312,54.874374,37.59383,5.4775696,0.74234974,1.4987148,Quesnel Fire Zone
2012-06-22,16.953125,23.664795,0.48111564,0.6140588,51.46812,33.999565,6.8778687,0.93762666,1.930121,Quesnel Fire Zone
2012-06-23,15.566284,20.599274,12.415701,1.803884,70.20052,51.16931,10.157898,0.52701044,1.1848491,Quesnel Fire Zone
2012-06-24,12.213806,16.959534,4.1894403,3.1587865,71.86922,52.90699,7.286499,0.40014923,0.9101976,Quesnel Fire Zone
2012-06-25,11.561432,17.136139,1.5044917,2.9487915,59.338497,41.378532,3.9011536,0.554019,1.1457627,Quesnel Fire Zone
2012-06-26,10.458313,14.632263,0.1904001,3.9833724,53.611015,40.773457,1.4387207,0.587372,0.98635215,Quesnel Fire Zone
2012-06-27,10.362366,14.680206,0.48365116,3.134219,59.58305,44.887413,2.8310242,0.50848585,0.92068404,Quesnel Fire Zone
2012-06-28,11.706482,15.696289,1.2768028,3.648003,63.556427,49.039875,5.0201416,0.50133514,0.9087781,Quesnel Fire Zone
2012-06-29,12.139587,16.252045,1.3885518,2.7844012,72.11473,55.258293,7.264984,0.39472318,0.8267224,Quesnel Fire Zone
2012-06-30,11.943665,16.013489,7.090593,2.6741242,76.00283,58.372543,7.8457336,0.3353274,0.7575588,Quesnel Fire Zone
2012-07-01,10.768311,14.964539,5.1551614,2.5225143,71.49953,54.336536,5.821533,0.3684067,0.77694416,Quesnel Fire Zone
2012-07-02,9.184326,12.302338,10.96397,2.1666749,87.31666,70.96291,7.1860046,0.14743567,0.4154544,Quesnel Fire Zone
2012-07-03,8.704437,12.357758,5.55429,3.8314755,77.9236,61.08892,5.0672913,0.248434,0.5587614,Quesnel Fire Zone
2012-07-04,9.888611,14.841431,1.1939372,2.7937722,64.16853,46.351093,3.4319763,0.4367236,0.9056014,Quesnel Fire Zone
2012-07-05,11.625946,18.891663,0.8679997,1.8976464,56.52772,35.450977,3.2726135,0.5948495,1.4088376,Quesnel Fire Zone
2012-07-06,14.114136,22.263428,0.087121285,2.6927779,50.55202,30.305597,3.997406,0.7963518,1.8724672,Quesnel Fire Zone
2012-07-07,15.83905,23.571716,0.025434064,2.3587587,49.424927,30.586067,5.2638855,0.91018856,2.0186033,Quesnel Fire Zone
2012-07-08,17.840149,27.200653,0.0,2.536122,46.915546,26.56537,6.3454285,1.0846933,2.6491735,Quesnel Fire Zone
2012-07-09,18.701813,27.630707,0.20091565,3.1432445,46.89205,27.329775,7.1253967,1.1454569,2.6883688,Quesnel Fire Zone
2012-07-10,17.179962,23.703308,0.14445814,3.4690986,50.19353,33.55931,6.7217407,0.97617656,1.9475036,Quesnel Fire Zone
2012-07-11,17.05545,24.507324,0.037856203,2.2757325,49.6199,31.364635,6.439911,0.97966576,2.1112213,Quesnel Fire Zone
2012-07-12,17.512726,25.385925,0.009393903,1.6936419,46.20643,28.528591,5.8258057,1.0767292,2.3166258,Quesnel Fire Zone
2012-07-13,18.976837,26.790222,2.9617215e-06,1.7000477,44.35273,27.62652,6.5642395,1.2210233,2.548774,Quesnel Fire Zone
2012-07-14,18.642303,26.52301,2.4295273,3.4860678,48.8647,30.280197,7.6742554,1.0988125,2.4170303,Quesnel Fire Zone
2012-07-15,16.303131,21.955109,1.8974372,2.3172731,67.75488,47.637062,10.331665,0.5977576,1.3806565,Quesnel Fire Zone
